	Primaere Kapitel	Sekundaere Kapitel
05470594.pdf	1924	10543
05470596.pdf	1686	5367
05470597.pdf	3027	4671
05470598.pdf	2280	3527
05470599.pdf	4199	6739
05470600.pdf	2899	6952
05470601.pdf	3193	4250
05470602.pdf	2326	14347
05470607.pdf	4307	6951
05470609.pdf	2422	6164
05766859.pdf	2025	7430
05766871.pdf	2102	7844
05766881.pdf	2606	8199
05766887.pdf	4621	6322
05766898.pdf	1935	7644
05766914.pdf	2234	3460
05766931.pdf	4309	6112
05766943.pdf	2694	6868
05766954.pdf	1807	5379
05766978.pdf	3308	4614
06197468.pdf	3485	5296
06197481.pdf	2684	4407
06197493.pdf	3524	5513
06197499.pdf	2862	6020
06197505.pdf	2204	5481
06197516.pdf	2390	6035
06197532.pdf	2283	8817
06197606.pdf	2323	6321
06197616.pdf	2148	8058
06197640.pdf	2296	5655
06529447.pdf	2867	4270
06529448.pdf	2607	4409
06529449.pdf	2187	4538
06529450.pdf	2555	4753
06529451.pdf	2659	3279
06529452.pdf	5474	9075
06529453.pdf	10976	3795
06529454.pdf	3272	4354
06529455.pdf	2414	8624
06529456.pdf	2466	7201
06815157.pdf	4168	5933
06815158.pdf	5082	6429
06815159.pdf	4352	2680
06815160.pdf	4545	6513
06815161.pdf	2605	10582
06815162.pdf	2856	8167
06815163.pdf	3079	4462
06815164.pdf	2998	6785
06815166.pdf	2768	10273
06815167.pdf	3814	3350
07133984.pdf	2566	4016
07133985.pdf	3229	11234
07133986.pdf	2198	5322
07133987.pdf	3359	3355
07133988.pdf	2356	5186
07133989.pdf	3050	7765
07133990.pdf	4481	0
07133991.pdf	3770	7434
07133993.pdf	2354	5234
07133994.pdf	3519	3558
07917507.pdf	3435	6659
07917508.pdf	2182	4488
07917509.pdf	2498	3537
07917511.pdf	2271	3842
07917512.pdf	3277	4989
07917513.pdf	2185	3582
07917514.pdf	2342	3189
07917515.pdf	4391	645
07917516.pdf	1790	2769
07917517.pdf	1838	6747
08480119.pdf	4586	5923
08480134.pdf	3228	3566
08480167.pdf	3336	4846
08480188.pdf	4735	4639
08480231.pdf	3095	10820
08480260.pdf	3436	15688
08480273.pdf	2057	4015
08480294.pdf	2759	4070
08480299.pdf	3289	1931
08480380.pdf	3011	3123
08730600.pdf	3287	6329
08730673.pdf	2713	4401
08730725.pdf	3075	3254
08730746.pdf	2935	5319
08730758.pdf	1126	2883
08730829.pdf	1855	2044
08730842.pdf	1516	3920
08730845.pdf	4258	5786
08730879.pdf	2411	6245
08730884.pdf	4077	6646
09127358.pdf	3918	7190
09127359.pdf	3809	6199
09127361.pdf	4782	6425
09127367.pdf	1120	6410
09127370.pdf	3321	6756
09127374.pdf	3499	6389
09127375.pdf	6044	8430
09127378.pdf	5604	10078
09127379.pdf	3754	7646
09127383.pdf	6149	6842
