	Primaere Kapitel	Sekundaere Kapitel
05942039.pdf	2995	4584
05942041.pdf	1581	3134
05942042.pdf	3865	9081
05942043.pdf	2596	5102
05942044.pdf	2940	3165
05942045.pdf	2745	3883
05942046.pdf	2920	2243
05942047.pdf	3301	1969
05942048.pdf	2345	5638
05942060.pdf	1788	1669
07460660.pdf	3286	5221
07460661.pdf	5341	13437
07460663.pdf	7108	12313
07460664.pdf	6206	6708
07460665.pdf	882	2705
07460666.pdf	1008	2077
07460667.pdf	1767	2400
07460668.pdf	1926	823
07460669.pdf	1290	2698
07460681.pdf	5021	13456
08484325.pdf	1529	2172
08484389.pdf	1478	3078
08484553.pdf	1755	5591
08484564.pdf	926	2976
08484612.pdf	1949	2447
08484613.pdf	1551	1526
08484690.pdf	1574	4713
08484695.pdf	1734	3168
08484697.pdf	1400	3936
08484718.pdf	1776	2752
08831193.pdf	6318	8271
08831195.pdf	2787	7022
08831198.pdf	5951	9331
08831199.pdf	3939	13151
08831204.pdf	6212	3191
08831207.pdf	5704	9228
08831208.pdf	4161	8952
08831213.pdf	4742	6800
08831214.pdf	4572	9157
08831220.pdf	5282	8575
09127358.pdf	3918	7190
09127359.pdf	3079	6696
09127361.pdf	5330	5329
09127367.pdf	1120	6410
09127370.pdf	3874	6756
09127374.pdf	3999	6389
09127375.pdf	7253	8430
09127378.pdf	6538	10078
09127379.pdf	4290	7646
09127383.pdf	7028	6842
08052702.pdf	1856	7424
08052703.pdf	3159	3168
08052711.pdf	3975	3440
08052712.pdf	3704	3082
08052714.pdf	1501	3567
08052715.pdf	1310	2799
08052717.pdf	2529	2971
08052719.pdf	1442	3107
08052735.pdf	1869	765
08052738.pdf	4595	6073
Fyr.pdf	0	0
