	Primaere Kapitel	Sekundaere Kapitel
08449785.pdf	2072	6792
08713073.pdf	1984	1419
08792968.pdf	3234	8386
08792972.pdf	2603	13461
08792973.pdf	5593	5327
08792979.pdf	3526	23636
08792981.pdf	4616	9601
08792983.pdf	3827	9011
08792996.pdf	1117	6613
08792997.pdf	5219	7006
08793006.pdf	4332	6267
08793008.pdf	2621	15899
08793010.pdf	3831	7120
08793011.pdf	2714	5879
08793029.pdf	2618	6918
08793031.pdf	2185	6370
08793044.pdf	2598	21784
08793045.pdf	4814	7366
08793049.pdf	2718	8482
08793051.pdf	2916	4571
08350911.pdf	1878	10798
08350983.pdf	3000	4598
08351076.pdf	1847	6923
08351103.pdf	2305	5361
08351198.pdf	2905	5746
08351257.pdf	1400	5911
08351261.pdf	2804	7477
08351264.pdf	2370	5090
08351342.pdf	2424	2873
08351351.pdf	1936	3854
08351424.pdf	1627	9415
08351454.pdf	2119	3369
08351551.pdf	1492	5887
08351613.pdf	2763	3817
08351647.pdf	2260	3219
08351664.pdf	1617	4840
08351743.pdf	2531	3856
08351756.pdf	3016	4866
08351818.pdf	1636	4906
08351831.pdf	1189	4233
