	Primaere Kapitel	Sekundaere Kapitel
05529949.pdf	1459.6666	3265.0
05529950.pdf	1427.8	5174.0
05529951.pdf	1649.6666	2416.3333
05529952.pdf	1310.0	3603.0
05529953.pdf	752.3333	3145.0
05529954.pdf	1067.0	4649.6665
05529955.pdf	1789.75	3574.0
05529956.pdf	1494.0	2011.0
05529957.pdf	2488.0	3486.0
05529958.pdf	1626.3334	10695.5
05942039.pdf	2995.0	4584.0
05942041.pdf	1581.25	3134.75
05942042.pdf	3865.3333	9081.0
05942043.pdf	2596.25	5102.0
05942044.pdf	2940.6	3165.0
05942045.pdf	2745.0	3883.0
05942046.pdf	2920.2	2243.5
05942047.pdf	3301.4	1969.3334
05942048.pdf	2345.6	5638.0
05942060.pdf	1788.5	1669.4
07460660.pdf	3286.8	5221.6665
07460661.pdf	5341.1665	13437.333
07460663.pdf	6982.4	11669.0
07460664.pdf	6206.2	6708.5
07460665.pdf	882.0	2705.6667
07460666.pdf	1008.5	2077.3333
07460667.pdf	1767.75	2400.0
07460668.pdf	1926.5	823.0
07460669.pdf	1290.0	2698.3333
07460681.pdf	5021.0	13456.5
08484325.pdf	1529.5	2172.0
08484389.pdf	1478.0	3078.3333
08484553.pdf	1755.2	5531.0
08484564.pdf	926.6	2832.0
08484612.pdf	1949.4	2401.0
08484613.pdf	1551.0	1526.0
08484690.pdf	1574.75	4713.5
08484695.pdf	1732.0	3055.0
08484697.pdf	1400.0	3936.0
08484718.pdf	1759.0	2448.3333
08052702.pdf	1856.8	7424.0
08052703.pdf	3160.5	3168.0
08052711.pdf	3975.6667	3437.0
08052712.pdf	3704.6	3082.6667
08052714.pdf	1501.75	3567.5
08052715.pdf	1310.0	2799.0
08052717.pdf	2529.0	2971.0
08052719.pdf	1442.3334	3107.3333
08052735.pdf	1869.8	765.0
08052738.pdf	4595.6	6073.0
