	Primaere Kapitel	Sekundaere Kapitel
05942039.pdf	0	0
05942041.pdf	0	0
05942042.pdf	0	0
05942043.pdf	0	0
05942044.pdf	0	0
05942045.pdf	2605	4731
05942046.pdf	0	0
05942047.pdf	0	0
05942048.pdf	0	0
05942060.pdf	0	0
07460660.pdf	0	0
07460663.pdf	0	0
07460664.pdf	0	0
07460665.pdf	0	0
07460666.pdf	0	0
07460667.pdf	0	0
07460668.pdf	0	0
07460669.pdf	0	0
07460681.pdf	0	0
07460724.pdf	0	0
8455879.pdf	0	0
8455880.pdf	0	0
8455881.pdf	0	0
8455882.pdf	0	0
8455883.pdf	0	0
8455884.pdf	0	0
8455885.pdf	0	0
8455888.pdf	0	0
8480127.pdf	0	0
8480397.pdf	0	0
08484325.pdf	0	0
08484389.pdf	0	0
08484553.pdf	0	0
08484564.pdf	0	0
08484612.pdf	0	0
08484613.pdf	0	0
08484690.pdf	0	0
08484695.pdf	0	0
08484697.pdf	0	0
08484718.pdf	0	0
08831193.pdf	0	0
08831195.pdf	0	0
08831198.pdf	0	0
08831199.pdf	0	0
08831204.pdf	0	0
08831207.pdf	0	0
08831208.pdf	0	0
08831213.pdf	0	0
08831214.pdf	0	0
08831220.pdf	0	0
08052702.pdf	0	0
08052703.pdf	0	0
08052711.pdf	0	0
08052712.pdf	0	0
08052714.pdf	0	0
08052715.pdf	0	0
08052717.pdf	0	0
08052719.pdf	0	0
08052735.pdf	0	0
08052738.pdf	0	0
08480260.pdf	0	0
